customer,state,customer_lifetime_value,response,coverage,education,effective_to_date,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,cluster,cluster_name
BU79786,washington,2763.519279,no,basic,bachelor,2011-02-24,employed,f,56274,suburban,married,69,32,5,0,1,corporate auto,corporate l3,offer1,agent,384.811147,two-door car,medsize,2,Riskmakers
QZ44356,arizona,6979.535903,no,extended,bachelor,2011-01-31,unemployed,f,0,suburban,single,94,13,42,0,8,personal auto,personal l3,offer3,agent,1131.464935,four-door car,medsize,0,Steady Eddies
AI49188,nevada,12887.43165,no,premium,bachelor,2011-02-19,employed,f,48767,suburban,married,108,18,38,0,2,personal auto,personal l3,offer1,agent,566.472247,two-door car,medsize,0,Steady Eddies
WW63253,california,7645.861827,no,basic,bachelor,2011-01-20,unemployed,m,0,suburban,married,106,18,65,0,7,corporate auto,corporate l2,offer1,call center,529.881344,suv,medsize,1,High Rollers
HB64268,washington,2813.692575,no,basic,bachelor,2011-02-03,employed,m,43836,rural,single,73,12,44,0,1,personal auto,personal l1,offer1,agent,138.130879,four-door car,medsize,2,Riskmakers
OC83172,oregon,8256.2978,yes,basic,bachelor,2011-01-25,employed,f,62902,rural,married,69,14,94,0,2,personal auto,personal l3,offer2,web,159.383042,two-door car,medsize,2,Riskmakers
XZ87318,oregon,5380.898636,yes,basic,college,2011-02-24,employed,f,55350,suburban,married,67,0,13,0,9,corporate auto,corporate l3,offer1,agent,321.6,four-door car,medsize,1,High Rollers
CF85061,arizona,7216.100311,no,premium,master,2011-01-18,unemployed,m,0,urban,single,101,0,68,0,4,corporate auto,corporate l3,offer1,agent,363.02968,four-door car,medsize,0,Steady Eddies
DY87989,oregon,24127.50402,yes,basic,bachelor,2011-01-26,medical leave,m,14072,suburban,divorced,71,13,3,0,2,corporate auto,corporate l3,offer1,agent,511.2,four-door car,medsize,0,Steady Eddies
BQ94931,oregon,7388.178085,no,extended,college,2011-02-17,employed,f,28812,urban,married,93,17,7,0,8,special auto,special l2,offer2,branch,425.527834,four-door car,medsize,1,High Rollers
SX51350,california,4738.992022,no,basic,college,2011-02-21,unemployed,m,0,suburban,single,67,23,5,0,3,personal auto,personal l3,offer1,agent,482.4,four-door car,small,0,Steady Eddies
VQ65197,california,8197.197078,no,basic,college,2011-01-06,unemployed,f,0,suburban,married,110,27,87,0,3,personal auto,personal l3,offer2,agent,528.0,suv,medsize,0,Steady Eddies
DP39365,california,8798.797003,no,premium,master,2011-02-06,employed,m,77026,urban,married,110,9,82,2,3,corporate auto,corporate l1,offer2,agent,472.029737,four-door car,medsize,0,Steady Eddies
SJ95423,arizona,8819.018934,yes,basic,high school or below,2011-01-10,employed,m,99845,suburban,married,110,23,25,1,8,corporate auto,corporate l3,offer2,branch,528.0,suv,medsize,1,High Rollers
IL66569,california,5384.431665,no,basic,college,2011-01-18,employed,m,83689,urban,single,70,21,10,2,8,corporate auto,corporate l3,offer4,call center,307.139132,four-door car,medsize,1,High Rollers
BW63560,oregon,7463.139377,no,basic,bachelor,2011-01-17,employed,f,24599,rural,married,64,12,50,1,2,corporate auto,corporate l2,offer2,branch,42.920271,four-door car,medsize,2,Riskmakers
FV94802,nevada,2566.867823,no,basic,high school or below,2011-02-06,medical leave,m,25049,suburban,married,67,14,7,0,1,personal auto,personal l3,offer2,call center,454.245098,two-door car,medsize,2,Riskmakers
OE15005,california,3945.241604,no,basic,college,2011-01-05,medical leave,m,28855,suburban,married,101,12,59,0,1,personal auto,personal l2,offer3,call center,647.442031,suv,medsize,0,Steady Eddies
WC83389,oregon,5710.333115,no,basic,college,2011-02-27,employed,m,51148,urban,married,72,9,1,0,7,personal auto,personal l2,offer2,branch,308.981664,four-door car,medsize,1,High Rollers
FL50705,california,8162.617053,no,premium,high school or below,2011-01-14,employed,f,66140,suburban,married,101,11,21,0,3,corporate auto,corporate l2,offer1,call center,484.8,four-door car,small,0,Steady Eddies
