Model,R2,MAE,RMSE,MAPE,Iteration,Params,CV_Mean,CV_Std
RF_200_None_2,0.681398189810142,1377.5802023644983,4052.0993617783074,8.837312960195302,4,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 2}",,
Random Forest (n=100),0.6808912690578512,1375.8698089054312,4055.3216862977974,8.808463983152205,3,,,
Random Forest (n=50),0.6807012134544608,1380.7277814012118,4056.5291460288313,8.823929494615411,3,,,
Final Random Forest,0.6804867126718772,1378.1163927395057,4057.8914790955873,8.820000723331935,5,,0.9083387155663042,0.00687705935782106
RF_200_20_2,0.6804867126718772,1378.1163927395064,4057.891479095588,8.820000723331937,4,"{'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 2}",,
RF_100_20_2,0.6804567879290837,1373.7712373867298,4058.081500169065,8.778112778383845,4,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2}",,
RF_200_20_5,0.679787353531049,1384.3173219429493,4062.33006174237,8.85595240894145,4,"{'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 5}",,
RF_100_10_2,0.6661863209669092,1460.970743208283,4147.706634193954,9.229188503576829,4,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2}",,
RF_200_10_2,0.6652539025648037,1463.888653535981,4153.4953441347,9.248880682402064,4,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 2}",,
Gradient Boosting,0.6596647019580115,1562.836127131311,4188.026913630672,10.183964441531531,3,,,
AdaBoost,0.6424433893938561,2296.2454679518887,4292.678592537224,21.53896741827609,3,,,
Decision Tree,0.6259864147255898,1529.5121859206051,4390.355172348502,10.106352916518329,3,,,
ElasticNet,0.10791474281999092,3426.2488651917997,6780.459836016978,41.09834042265091,2,,,
Lasso (α=0.1),0.08190910009149721,3625.1303615712304,6878.580244105545,46.521964717782794,2,,,
Mean Baseline,-0.04942577121932601,4176.548108346735,,,1,,,
Median Baseline,-0.08653267731258363,4131.197751602628,,,1,,,
Ridge (α=1.0),-0.14473145959310085,3476.9871289968987,7680.823330116217,36.30086588134738,2,,,
Linear Regression,-0.14988726806483776,3479.023487678985,7698.100903721969,36.31462453151037,2,,,
